"	Galnt3",490.5575213,-1.822187678,0.328741219,-5.542924268,2.97E-08,2.86E-06
"	Igkv12-44",63.82495539,4.021285817,0.730074212,5.508050755,3.63E-08,3.46E-06
"	Hsph1",2046.405144,-1.257641665,0.228714369,-5.498743563,3.83E-08,3.62E-06
"	Klrd1",8081.740782,-1.615431054,0.294136503,-5.492113477,3.97E-08,3.73E-06
"	Elovl6",140.0398147,1.45707418,0.265705468,5.483794489,4.16E-08,3.87E-06
"	Hopx",9626.27989,-1.1625525,0.212019545,-5.483232678,4.18E-08,3.87E-06
"	Cxcr6",24722.76087,-2.764426862,0.504431156,-5.480285719,4.25E-08,3.91E-06
"	Jun",74.09725568,2.064367304,0.377027609,5.475374359,4.37E-08,3.99E-06
"	Cd47",19917.11981,-0.942885811,0.172576882,-5.463569617,4.67E-08,4.23E-06
"	Sub1",115738.4357,-0.953640521,0.174581282,-5.462444249,4.70E-08,4.23E-06
"	Fos",410.2466091,1.907417033,0.350036273,5.449198207,5.06E-08,4.53E-06
"	1110059G10Rik",1182.827842,-0.675154003,0.124099958,-5.44040478,5.32E-08,4.67E-06
"	Cd55",382.2289673,-1.432260176,0.263274389,-5.44018041,5.32E-08,4.67E-06
"	Ext1",79.06478852,1.641766399,0.301689416,5.441909165,5.27E-08,4.67E-06
"	Errfi1",398.4848301,-1.239905974,0.22821437,-5.433075814,5.54E-08,4.82E-06
"	Sdc4",11.89318858,3.802220417,0.699969829,5.431977583,5.57E-08,4.82E-06
"	Mrpl32",3656.376343,-0.804063593,0.148737945,-5.405907649,6.45E-08,5.54E-06
"	Pkp4",557.8153664,1.144829134,0.21236358,5.390892055,7.01E-08,5.99E-06
"	1700017B05Rik",300.7379069,-1.335817043,0.248165484,-5.382767259,7.33E-08,6.22E-06
"	Ikzf2",567.9424562,2.145593114,0.398995625,5.377485309,7.55E-08,6.33E-06
"	Tox2",35.37789617,2.743763762,0.510127029,5.378589261,7.51E-08,6.33E-06
"	Mgrn1",127.9437422,1.813522107,0.337466461,5.373932876,7.70E-08,6.41E-06
"	Ier3",91.75772669,-1.905548864,0.355480719,-5.360484443,8.30E-08,6.87E-06
"	Ly6d",45.22268037,3.543943711,0.661291928,5.359121382,8.36E-08,6.87E-06
"	Lamc1",290.924762,-1.814507383,0.338699573,-5.357276848,8.45E-08,6.90E-06
"	Ncald",477.2820966,-1.185598536,0.221648989,-5.348991396,8.84E-08,7.18E-06
"	Tspan32",1988.684635,1.501356511,0.280880879,5.345171648,9.03E-08,7.29E-06
"	Pycard",20565.57975,-1.079617083,0.202070729,-5.3427683,9.15E-08,7.34E-06
"	4930453N24Rik",2800.402444,-1.179359665,0.221140486,-5.333078914,9.66E-08,7.70E-06
"	Fosb",109.0991169,2.111941703,0.396271599,5.329530834,9.85E-08,7.80E-06
"	Ap1s2",1365.987341,-0.948332087,0.178364428,-5.316822967,1.06E-07,8.32E-06
"	Xcr1",134.6786018,-2.037621854,0.383365512,-5.315089105,1.07E-07,8.35E-06
"	Ccdc126",120.0925935,1.576435116,0.296721318,5.312847508,1.08E-07,8.40E-06
"	Coa6",1226.386733,-0.860603794,0.163475038,-5.26443549,1.41E-07,1.08E-05
"	Serpini1",568.7470749,-1.656792933,0.314735774,-5.264075679,1.41E-07,1.08E-05
"	Cxcr5",219.2061006,2.518548325,0.478539878,5.262985263,1.42E-07,1.08E-05
"	Ngp",36.21177399,3.2823108,0.624629572,5.254811728,1.48E-07,1.13E-05
"	Ccrl2",80.27144837,-2.347961598,0.447439617,-5.247549632,1.54E-07,1.17E-05
"	Fcgr2b",600.9272792,-1.728214252,0.329856964,-5.239283815,1.61E-07,1.21E-05
"	Cybb",38.34314441,3.492258747,0.667006269,5.235721026,1.64E-07,1.22E-05
"	Ssh2",713.3905588,0.93338039,0.178263938,5.23594621,1.64E-07,1.22E-05
"	Mrpl51",2429.179926,-0.759166002,0.14519607,-5.228557494,1.71E-07,1.26E-05
"	Gm12253",114.8017411,-1.992376748,0.38209539,-5.214343848,1.84E-07,1.36E-05
"	Ccl5",135400.4635,-1.915469549,0.368733502,-5.194726114,2.05E-07,1.50E-05
"	Gm11707",38.34843068,-2.658696967,0.511872227,-5.194063724,2.06E-07,1.50E-05
"	Akr1c13",502.6074987,-1.785255632,0.343905629,-5.191120702,2.09E-07,1.51E-05
"	Pnrc2",3314.12419,-1.055296915,0.203371531,-5.189010022,2.11E-07,1.52E-05
"	Ccr6",37.80789321,2.657188999,0.515727128,5.152315735,2.57E-07,1.84E-05
"	Commd8",5908.494991,-0.916097689,0.178122454,-5.143078095,2.70E-07,1.92E-05
"	Gm16225",61.38508139,2.533158523,0.493418337,5.133896196,2.84E-07,2.01E-05
"	Selk",13657.46593,-0.64123525,0.124932165,-5.132667415,2.86E-07,2.01E-05
"	Lsm8",5971.137531,-0.64484974,0.126043926,-5.116071535,3.12E-07,2.18E-05
"	Slc43a1",76.74039524,3.047367812,0.59826138,5.093706389,3.51E-07,2.44E-05
"	Aff3",252.5426116,1.454338363,0.285794119,5.088762379,3.60E-07,2.49E-05
"	Srp14",11001.16002,-0.815215388,0.160683341,-5.073428164,3.91E-07,2.69E-05
"	Pde8a",145.3810616,1.24208058,0.245023497,5.069230491,3.99E-07,2.74E-05
"	Srsf7",21257.78811,-0.999659836,0.197469415,-5.062352763,4.14E-07,2.82E-05
"	Camk2d",797.2775504,0.839078589,0.166211083,5.048270999,4.46E-07,3.02E-05
"	Tmlhe",138.2026467,1.773079845,0.351561703,5.043438547,4.57E-07,3.08E-05
"	Tnfsf8",525.7955321,1.475255271,0.29278265,5.038738711,4.69E-07,3.14E-05
"	Cd48",61007.00588,-1.583045829,0.315073058,-5.024377011,5.05E-07,3.36E-05
"	Havcr2",684.4121632,-1.947646054,0.387649782,-5.024241319,5.05E-07,3.36E-05
"	Mkks",2055.426342,-0.632831009,0.125982779,-5.023154859,5.08E-07,3.36E-05
"	P2rx4",55.94822451,2.008316593,0.400075003,5.019850223,5.17E-07,3.39E-05
"	Txndc17",5255.155283,-0.700756783,0.13961125,-5.019343248,5.18E-07,3.39E-05
"	Itgam",294.9698263,-1.942804962,0.387439613,-5.014471672,5.32E-07,3.46E-05
"	Nqo2",1712.776498,-1.186707764,0.23742664,-4.998208129,5.79E-07,3.75E-05
"	Lars2",668.3630721,0.904550012,0.181119785,4.994208721,5.91E-07,3.81E-05
"	Lmntd1",15.69589996,-3.003472592,0.602206902,-4.987442993,6.12E-07,3.93E-05
"	1810037I17Rik",14064.5108,-0.743490778,0.149281244,-4.98047014,6.34E-07,4.05E-05
"	Pou2af1",79.37182102,2.801158,0.564154691,4.965230365,6.86E-07,4.36E-05
"	Actn2",886.6716841,-2.080034268,0.419277083,-4.961001567,7.01E-07,4.43E-05
"	Rbx1",11835.24939,-0.734573303,0.148212741,-4.956208888,7.19E-07,4.52E-05
"	Gng2",3604.326514,-0.895954563,0.180861151,-4.953825401,7.28E-07,4.56E-05
"	Fgl2",664.9487841,-1.296823539,0.262549638,-4.939346137,7.84E-07,4.89E-05
"	Adk",1883.583205,1.067756206,0.21795312,4.89901776,9.63E-07,5.95E-05
"	Nek7",2784.910737,0.658851207,0.134476584,4.899374944,9.61E-07,5.95E-05
"	Pgm1",528.204738,-0.929902146,0.189950888,-4.895487239,9.81E-07,6.03E-05
"	2900041M22Rik",87.51872378,-2.059520277,0.421302156,-4.888463653,1.02E-06,6.22E-05
"	2410004B18Rik",1087.592448,-0.771891726,0.158197387,-4.879295043,1.06E-06,6.48E-05
"	Bzw2",965.1512565,0.744541184,0.152778965,4.873322594,1.10E-06,6.62E-05
"	C1d",13990.36946,-0.676721676,0.138861646,-4.873351987,1.10E-06,6.62E-05
"	Gstm5",28.27374688,-2.972639393,0.610303918,-4.870752599,1.11E-06,6.68E-05
"	Gm11998",159.4023414,1.14486794,0.235223172,4.867156286,1.13E-06,6.74E-05
"	Txndc9",3842.496125,-0.892463556,0.183340493,-4.867792927,1.13E-06,6.74E-05
"	Clec4a2",16.29965964,3.239670058,0.665778642,4.86598676,1.14E-06,6.75E-05
"	Il15",60.0691291,-1.746354911,0.359181491,-4.862040381,1.16E-06,6.85E-05
"	Sgk3",269.2663788,-1.583485379,0.328139362,-4.825648981,1.40E-06,8.19E-05
"	Tnfrsf13b",667.835473,0.727205456,0.150788431,4.82268732,1.42E-06,8.28E-05
"	Golm1",1036.682598,-0.789766449,0.163892186,-4.818816972,1.44E-06,8.40E-05
"	Ly86",38.80090739,2.941981494,0.611376915,4.812058519,1.49E-06,8.62E-05
"	Tmem33",3545.862422,-1.115476415,0.231807319,-4.812084528,1.49E-06,8.62E-05
"	Dennd4a",757.5859367,-0.99005174,0.205983352,-4.806464839,1.54E-06,8.78E-05
"	Morc1",23.10709165,3.425763074,0.712633236,4.807189588,1.53E-06,8.78E-05
"	1500009L16Rik",2805.736166,-1.986236188,0.414537,-4.791456944,1.66E-06,9.43E-05
"	Cxcr4",201.977474,1.709198374,0.357352253,4.782951161,1.73E-06,9.79E-05
"	Ephx1",68.05558837,2.024456453,0.423789633,4.777031559,1.78E-06,0.000100419
"	Dkkl1",201.1128974,-1.682201897,0.353156852,-4.763327933,1.90E-06,0.000107029
"	Tcf7",3285.221274,1.394660786,0.293528034,4.751371672,2.02E-06,0.000113074
"	Lxn",2210.966976,-1.609487117,0.339828358,-4.736176597,2.18E-06,0.000120464
"	Pla2g7",13.96695442,3.445568999,0.727529405,4.735985896,2.18E-06,0.000120464
"	Plagl1",32.57872987,2.787236963,0.588397992,4.736992646,2.17E-06,0.000120464
"	Usp6nl",115.7167897,1.665363811,0.352058214,4.730364877,2.24E-06,0.00012333
"	Klk8",1269.615855,-0.664315761,0.141023296,-4.710680985,2.47E-06,0.000135296
"	S100a13",11259.60199,-0.804306236,0.171050889,-4.702145888,2.57E-06,0.000140057
"	Snx10",1938.916212,-0.871563641,0.185362808,-4.701933739,2.58E-06,0.000140057
